SRAnum biosample_num
 SAMEA103972944
 SAMEA104113915
 SAMEA104113916
 SAMEA104113917
 SAMEA104113918
 SAMEA104113919
 SAMEA104113920
 SAMEA104113921
 SAMEA104115216
ERR2237789 SAMEA104167220
 SAMEA104353277
ERR3403362 SAMEA104567218
ERR3403364 SAMEA104567222
ERR3402955 SAMEA104567246
ERR3402956 SAMEA104567247
ERR3402958 SAMEA104567249
ERR3402959 SAMEA104567250
ERR3402960 SAMEA104567251
ERR3402969 SAMEA104567253
ERR3402970 SAMEA104567255
ERR3402974 SAMEA104567259
ERR3402975 SAMEA104567260
ERR3402976 SAMEA104567262
ERR3402967 SAMEA104567276
ERR3402978 SAMEA104567278
ERR3402979 SAMEA104567279
ERR3402983 SAMEA104567284
ERR3402984 SAMEA104567285
ERR3402994 SAMEA104567301
ERR3402995 SAMEA104567302
ERR3402577 SAMEA104567417
ERR3402652 SAMEA104567420
ERR3402588 SAMEA104567451
ERR3402673 SAMEA104567452
ERR3402700 SAMEA104567496
ERR3402701 SAMEA104567497
ERR3402702 SAMEA104567498
ERR3402709 SAMEA104567507
ERR3402710 SAMEA104567508
ERR3402715 SAMEA104567513
ERR3402720 SAMEA104567518
ERR3402737 SAMEA104567534
ERR3402738 SAMEA104567536
ERR3402754 SAMEA104567555
ERR3402798 SAMEA104567607
ERR3402810 SAMEA104567621
ERR3402822 SAMEA104567634
ERR3402823 SAMEA104567635
ERR3402824 SAMEA104567636
ERR3402848 SAMEA104567668
ERR3402904 SAMEA104567732
ERR3402909 SAMEA104567738
ERR3402920 SAMEA104567754
ERR3403191 SAMEA104694377
ERR3403197 SAMEA104694383
ERR3403203 SAMEA104694389
ERR3403246 SAMEA104694437
ERR3403251 SAMEA104694442
 SAMEA104700141
 SAMEA104700146
 SAMEA104711314
ERR311552 SAMEA1972464
ERR314461 SAMEA2054921
 SAMEA2272705
ERR474276 SAMEA2273117
ERR474277 SAMEA2273118
ERR486101 SAMEA2273122
ERR486103 SAMEA2273124
ERR486104 SAMEA2273125
ERR486106 SAMEA2273127
ERR486107 SAMEA2273128
ERR486109 SAMEA2273130
ERR486112 SAMEA2273133
ERR486113 SAMEA2273134
ERR486114 SAMEA2273135
ERR486115 SAMEA2273136
ERR486116 SAMEA2273137
ERR486117 SAMEA2273139
ERR486118 SAMEA2273140
ERR486119 SAMEA2273141
ERR486120 SAMEA2273142
ERR486720 SAMEA2273143
ERR486121 SAMEA2273144
ERR486122 SAMEA2273145
ERR486123 SAMEA2273146
